starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   58    │   'syncfusion_flutter_charts'    │  821  │  130   │     97     │    true    │    false     │            '19.1.57+1'            │    'syncfusion.com'    │
│   59    │         'timeline_tile'          │  813  │  120   │     96     │    true    │    false     │              '2.0.0'              │ 'juliobitencourt.com'  │
│   60    │          'audioplayers'          │  784  │  130   │     99     │    true    │    false     │             '0.18.3'              │    'fireslime.xyz'     │
│   61    │         'table_calendar'         │  785  │  130   │     98     │    true    │    false     │              '3.0.0'              │       undefined        │
│   62    │          'package_info'          │  768  │  110   │     99     │    true    │     true     │              '2.0.0'              │     'flutter.dev'      │
│   63    │           'equatable'            │  751  │  130   │     99     │    true    │    false     │              '2.0.0'              │ 'fluttercommunity.dev' │
│   64    │       'easy_localization'        │  747  │  130   │     98     │    true    │    false     │              '3.0.0'              │       undefined        │
│   65    │     'curved_navigation_bar'      │  744  │  110   │     97     │   false    │    false     │     '0.3.70.4.0-nullsafety.0'     │    'mobilemvp.app'     │
│   66    │             'badges'             │  736  │  110   │     98     │   false    │    false     │     '1.2.02.0.0-nullsafety.1'     │       'yako.io'        │
│   67    │            'riverpod'            │  721  │  130   │     98     │    true    │    false     │            '0.14.0+1'             │       undefined        │
│   68    │             'lottie'             │  713  │  130   │     99     │    true    │    false     │              '1.0.1'              │       undefined        │
