Google own a total of 25/250 top packages
│    3    │  4   │              'http'              │ 3258  │  130   │    100     │   true   │  false   │             '0.13.3'              │       'dart.dev'       │  true   │ true  │ true  │ true  │ true  │  true   │
│    4    │  5   │          'url_launcher'          │ 3078  │  130   │    100     │   true   │   true   │             '6.0.10'              │     'flutter.dev'      │  true   │ true  │ true  │ true  │ true  │  true   │
│    5    │  6   │           'animations'           │ 2871  │  130   │     99     │   true   │  false   │              '2.0.1'              │     'flutter.dev'      │  true   │ true  │ true  │ true  │ true  │  true   │
│    6    │  7   │          'flutter_bloc'          │ 2718  │  130   │     99     │   true   │   true   │              '7.2.0'              │   'bloclibrary.dev'    │  true   │ true  │ true  │ true  │ true  │  true   │
│    7    │  8   │     'flutter_launcher_icons'     │ 2652  │   90   │     99     │   true   │  false   │              '0.9.2'              │ 'fluttercommunity.dev' │  true   │ true  │ true  │ true  │ false │  true   │
│    8    │  9   │              'dio'               │ 2635  │  130   │    100     │   true   │  false   │              '4.0.0'              │  'flutterchina.club'   │  true   │ true  │ true  │ true  │ true  │  true   │
│    9    │  10  │          'image_picker'          │ 2595  │  130   │    100     │   true   │  false   │              '0.8.4'              │     'flutter.dev'      │  true   │ true  │ false │ false │ true  │  false  │
│   10    │  11  │          'google_fonts'          │ 2592  │  130   │     99     │   true   │   true   │              '2.1.0'              │     'material.io'      │  true   │ true  │ true  │ true  │ true  │  true   │
│   11    │  12  │  'flutter_local_notifications'   │ 2309  │  120   │     99     │   true   │   true   │       '8.1.1+29.0.0-dev.2'        │     'dexterx.dev'      │  true   │ true  │ false │ true  │ false │  false  │
│   12    │  13  │        'flutter_slidable'        │ 2237  │  120   │     99     │   true   │   true   │        '0.6.01.0.0-dev.9'         │   'romainrastel.com'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   13    │  14  │              'hive'              │ 2234  │  130   │     99     │   true   │  false   │              '2.0.4'              │      'hivedb.dev'      │  true   │ true  │ true  │ true  │ true  │  true   │
│   14    │  15  │      'cached_network_image'      │ 2221  │  120   │    100     │   true   │  false   │              '3.1.0'              │     'baseflow.com'     │  true   │ true  │ false │ true  │ false │  false  │
│   15    │  16  │           'geolocator'           │ 2198  │  130   │     99     │   true   │   true   │              '7.6.0'              │     'baseflow.com'     │  true   │ true  │ false │ true  │ true  │  false  │
│   16    │  17  │       'animated_text_kit'        │ 2115  │  130   │     98     │   true   │   true   │              '4.2.1'              │   'ayushagarwal.ml'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   17    │  18  │            'sqflite'             │ 2050  │  120   │    100     │   true   │   true   │             '2.0.0+4'             │     'tekartik.com'     │  true   │ true  │ false │ true  │ false │  false  │
│   18    │  19  │        'carousel_slider'         │ 2046  │  120   │     99     │   true   │  false   │              '4.0.0'              │     'serenader.me'     │  true   │ true  │ true  │ true  │ true  │  true   │
│   19    │  20  │              'intl'              │ 1933  │  120   │    100     │   true   │   true   │             '0.17.0'              │       'dart.dev'       │  true   │ true  │ true  │ true  │ true  │  true   │
│   20    │  21  │            'fl_chart'            │ 1888  │  110   │     99     │   true   │  false   │             '0.40.0'              │   'flutter4fun.com'    │  true   │ true  │ true  │ true  │ false │  true   │
│   21    │  22  │         'path_provider'          │ 1882  │  120   │    100     │   true   │   true   │              '2.0.3'              │     'flutter.dev'      │  true   │ true  │ true  │ true  │ false │  true   │
│   22    │  23  │     'flutter_native_splash'      │ 1842  │  130   │     98     │   true   │   true   │              '1.2.1'              │    'jonhanson.net'     │  true   │ true  │ true  │ true  │ true  │  true   │
│   23    │  24  │         'firebase_auth'          │ 1795  │  120   │    100     │   true   │   true   │              '3.1.0'              │ 'firebase.google.com'  │  true   │ true  │ false │ true  │ true  │  false  │
│   24    │  25  │        'flutter_spinkit'         │ 1785  │  105   │     99     │   true   │  false   │              '5.1.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   25    │  26  │      'google_maps_flutter'       │ 1768  │  120   │     99     │   true   │  false   │              '2.0.8'              │     'flutter.dev'      │  true   │ true  │ false │ false │ false │  false  │
│   26    │  27  │           'animate_do'           │ 1761  │  120   │     96     │   true   │  false   │              '2.0.0'              │ 'fernando-herrera.com' │  true   │ true  │ true  │ true  │ true  │  true   │
│   27    │  28  │      'font_awesome_flutter'      │ 1744  │  120   │     99     │   true   │   true   │              '9.1.0'              │ 'fluttercommunity.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│   28    │  29  │            'shimmer'             │ 1729  │  130   │     99     │   true   │  false   │              '2.0.0'              │      'hunghd.dev'      │  true   │ true  │ true  │ true  │ true  │  true   │
│   29    │  30  │          'flutter_svg'           │ 1720  │  120   │    100     │   true   │  false   │             '0.22.0'              │     'dnfield.dev'      │  true   │ true  │ true  │ true  │ false │  true   │
│   30    │  31  │          'connectivity'          │ 1682  │  130   │     99     │   true   │  false   │              '3.0.6'              │     'flutter.dev'      │  true   │ true  │ false │ true  │ true  │  false  │
│   31    │  32  │        'cloud_firestore'         │ 1656  │  120   │    100     │   true   │   true   │              '2.5.1'              │ 'firebase.google.com'  │  true   │ true  │ false │ true  │ true  │  false  │
│   32    │  33  │         'auto_size_text'         │ 1609  │  110   │     99     │  false   │  false   │     '2.1.03.0.0-nullsafety.0'     │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   33    │  34  │       'permission_handler'       │ 1607  │  120   │     99     │   true   │  false   │             '8.1.4+2'             │     'baseflow.com'     │  true   │ true  │ false │ false │ false │  false  │
│   34    │  35  │       'firebase_messaging'       │ 1580  │  120   │    100     │   true   │   true   │             '10.0.6'              │ 'firebase.google.com'  │  true   │ true  │ false │ true  │ true  │  false  │
│   35    │  36  │        'webview_flutter'         │ 1478  │  120   │    100     │   true   │  false   │             '2.0.12'              │     'flutter.dev'      │  true   │ true  │ false │ false │ false │  false  │
│   36    │  37  │             'share'              │ 1470  │  120   │     99     │   true   │  false   │              '2.0.4'              │     'flutter.dev'      │  true   │ true  │ false │ false │ false │  false  │
│   37    │  38  │             'get_it'             │ 1465  │  130   │     99     │   true   │  false   │              '7.2.0'              │ 'fluttercommunity.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
