
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   22    │         'firebase_auth'          │ 1539  │  120   │    100     │   true   │   true   │              '1.3.0'              │ 'firebase.google.com'  │
│   23    │          'connectivity'          │ 1531  │  130   │     99     │   true   │  false   │              '3.0.6'              │     'flutter.dev'      │
│   24    │           'animate_do'           │ 1506  │  120   │     96     │   true   │  false   │              '2.0.0'              │ 'fernando-herrera.com' │
│   25    │      'google_maps_flutter'       │ 1502  │  120   │     99     │   true   │  false   │              '2.0.6'              │     'flutter.dev'      │
│   26    │        'flutter_spinkit'         │ 1491  │  105   │     99     │   true   │  false   │              '5.0.0'              │       undefined        │
│   27    │      'font_awesome_flutter'      │ 1463  │  120   │     99     │   true   │   true   │              '9.0.0'              │ 'fluttercommunity.dev' │
│   28    │        'cloud_firestore'         │ 1416  │  120   │    100     │   true   │   true   │              '2.2.1'              │ 'firebase.google.com'  │
│   29    │          'flutter_svg'           │ 1401  │  120   │    100     │   true   │  false   │             '0.22.0'              │     'dnfield.dev'      │
│   30    │         'auto_size_text'         │ 1399  │  110   │     99     │  false   │  false   │     '2.1.03.0.0-nullsafety.0'     │       undefined        │
│   31    │            'shimmer'             │ 1369  │  130   │     99     │   true   │  false   │              '2.0.0'              │      'hunghd.dev'      │
│   32    │             'share'              │ 1359  │  120   │     99     │   true   │  false   │              '2.0.4'              │     'flutter.dev'      │
│   33    │       'firebase_messaging'       │ 1336  │  120   │     99     │   true   │   true   │             '10.0.1'              │ 'firebase.google.com'  │
│   34    │       'permission_handler'       │ 1289  │  120   │     99     │   true   │  false   │              '8.0.1'              │     'baseflow.com'     │
│   35    │         'flutter_swiper'         │ 1270  │  110   │     99     │  false   │  false   │              '1.1.6'              │       undefined        │
│   36    │        'webview_flutter'         │ 1242  │  120   │     99     │   true   │  false   │              '2.0.8'              │     'flutter.dev'      │
│   37    │             'get_it'             │ 1239  │  130   │     99     │   true   │  false   │              '7.1.3'              │ 'fluttercommunity.dev' │
│   38    │     'flutter_native_splash'      │ 1192  │  130   │     98     │   true   │   true   │             '1.1.8+4'             │    'jonhanson.net'     │
│   39    │         'device_preview'         │ 1159  │  120   │     97     │   true   │  false   │              '0.7.3'              │   'aloisdeniel.com'    │
│   40    │            'location'            │ 1146  │  130   │     99     │   true   │   true   │              '4.1.1'              │      'bernos.dev'      │
│   41    │             'rxdart'             │ 1145  │  125   │    100     │   true   │   true   │             '0.27.1'              │ 'fluttercommunity.dev' │
│   42    │          'file_picker'           │ 1143  │  130   │     99     │   true   │  false   │             '3.0.2+2'             │   'miguelruivo.com'    │
│   43    │       'convex_bottom_bar'        │ 1130  │  130   │     96     │   true   │   true   │              '3.0.0'              │     'hacktons.cn'      │
│   44    │  'flutter_staggered_grid_view'   │ 1095  │  130   │     99     │   true   │  false   │              '0.4.0'              │   'romainrastel.com'   │
│   45    │       'modal_bottom_sheet'       │ 1078  │  120   │     99     │   true   │  false   │              '2.0.0'              │   'jaimeblasco.com'    │
│   46    │          'device_info'           │ 1035  │  120   │     99     │   true   │  false   │              '2.0.2'              │     'flutter.dev'      │
│   47    │          'fluttertoast'          │ 1030  │  130   │     99     │   true   │  false   │              '8.0.7'              │  'karthikponnam.dev'   │
│   48    │        'sliding_up_panel'        │ 1025  │  130   │     98     │   true   │  false   │             '2.0.0+1'             │   'akshathjain.com'    │
│   49    │        'pull_to_refresh'         │ 1010  │  130   │     99     │   true   │  false   │              '2.0.0'              │       undefined        │
│   50    │              'bloc'              │  992  │  130   │     99     │   true   │   true   │              '7.0.0'              │   'bloclibrary.dev'    │
│   51    │         'google_sign_in'         │  970  │  130   │     99     │   true   │  false   │              '5.0.4'              │     'flutter.dev'      │
│   52    │       'flutter_screenutil'       │  961  │  130   │     98     │   true   │  false   │             '5.0.0+2'             │       undefined        │
│   53    │       'simple_animations'        │  956  │  130   │     98     │   true   │  false   │              '3.1.1'              │  'felix-blaschke.de'   │
│   54    │           'photo_view'           │  948  │  120   │     99     │   true   │  false   │             '0.11.1'              │    'fireslime.xyz'     │
│   55    │         'firebase_core'          │  935  │  120   │    100     │   true   │   true   │              '1.2.1'              │ 'firebase.google.com'  │
│   56    │      'introduction_screen'       │  930  │  120   │     97     │   true   │  false   │              '2.1.0'              │       undefined        │
